"location","population","highestinfectioncount","percentpopulationinfected"
"Tokelau",1368,NULL,NULL
"United States Virgin Islands",104218,NULL,NULL
"Turkmenistan",6117933,NULL,NULL
"Western Sahara",611872,NULL,NULL
"Nauru",10873,NULL,NULL
"Puerto Rico",2828246,NULL,NULL
"Pitcairn",47,NULL,NULL
"Sint Maarten (Dutch part)",43421,NULL,NULL
"Guam",170184,NULL,NULL
"Northern Cyprus",NULL,NULL,NULL
"Guernsey",63385,NULL,NULL
"Northern Mariana Islands",57910,NULL,NULL
"Jersey",101073,NULL,NULL
"Tuvalu",11925,NULL,NULL
"Niue",1614,NULL,NULL
"International",NULL,721,NULL
"Faeroe Islands",49053,34658,70.65419036552300572800
"Cyprus",896005,483664,53.98005591486654650400
"Andorra",77354,41717,53.92998422835276779500
"Denmark",5813302,3121820,53.70132155528819937400
"Gibraltar",33691,17996,53.41485856756997417700
"Iceland",368792,185961,50.42435844595327447500
"San Marino",34010,16624,48.87974125257277271400
"Slovenia",2078723,1014699,48.81357448779851861000
"Netherlands",17173094,8151839,47.46866813865923053800
"Saint Pierre and Miquelon",5771,2727,47.25350892392999480200
"Slovakia",5449270,2535084,46.52153407704151198200
"Austria",9043072,4172760,46.14316904697872581400
"Liechtenstein",38254,17260,45.11946463114968369300
"Latvia",1866934,824046,44.13900009320093800900
"Israel",9291000,4087878,43.99825637713916693600
"Seychelles",98910,42841,43.31311293094732585200
"Estonia",1325188,572434,43.19643703383972689200
"France",67422000,28944327,42.93009255139272047700
"Switzerland",8715494,3636226,41.72139869524320709800
"Georgia",3979773,1655221,41.59083947752798966200
"Lithuania",2689862,1059356,39.38328434692932202500
"Portugal",10167923,3920167,38.55425537742565517100
"Luxembourg",634814,241160,37.98908026603067985300
"Isle of Man",85410,32424,37.96276782578152441200
"Montenegro",628051,235644,37.51988293944281595000
"Bonaire Sint Eustatius and Saba",26445,9834,37.18661372660238230300
"Czechia",10724553,3912121,36.47817302968244923600
"Belgium",11632334,4088336,35.14630855682101287700
"Cayman Islands",66498,22828,34.32885199554873830800
"South Korea",51305184,17504334,34.11806105207614107800
"Maldives",543620,179414,33.00356866929104889400
"Aruba",107195,35189,32.82709081580297588500
"Bahrain",1748295,571441,32.68561655784635888100
"United Kingdom",68207114,22188899,32.53164911800842357900
"Greece",10370747,3353886,32.33986905668415206700
"Brunei",441532,142465,32.26606452080483407800
"European Union",447189915,138620874,30.99821112915750794600
"Ireland",4982904,1522363,30.55172244939898501000
"Monaco",39520,11917,30.15435222672064777300
"Germany",83900471,25287462,30.13983318401156532200
"Cook Islands",17572,5267,29.97382198952879581200
"Serbia",6871547,2009249,29.24012598618622560500
"Italy",60367471,16726990,27.70861479355330290400
"Mongolia",3329282,920781,27.65704437172939991300
"Croatia",4081657,1126501,27.59910987130961763800
"Norway",5465629,1427790,26.12306836047598547200
"Palau",18174,4732,26.03719599427753934200
"Europe",748962983,194159172,25.92373407057956027200
"Uruguay",3485152,899723,25.81588980911019089000
"French Polynesia",282534,72776,25.75831581331804313800
"Curacao",164796,42330,25.68630306560838855300
"Spain",46745211,11953481,25.57156282811516242800
"Barbados",287708,72743,25.28362089340581422800
"Sweden",10160159,2503090,24.63632704960621187100
"United States",332915074,81831854,24.58039914407720691000
"High income",1214930230,296114982,24.37300304890759035600
"Australia",25788217,6207668,24.07172236839793926000
"Bermuda",62092,13832,22.27662178702570379400
"Singapore",5453600,1212337,22.23003153880005867700
"British Virgin Islands",30423,6467,21.25694375965552378100
"New Caledonia",288217,60885,21.12470811922960824700
"Greenland",56868,11971,21.05050291904058521500
"Argentina",45605823,9083673,19.91779207668283938200
"Hungary",9634162,1903200,19.75470206957283882100
"New Zealand",5126300,984218,19.19938357099662524600
"Finland",5548361,1052767,18.97437819925559998700
"Chile",19212362,3572817,18.59644847416470707800
"Anguilla",15125,2788,18.43305785123966942100
"Malta",516100,92597,17.94167796938577795000
"Panama",4381583,784184,17.89727593885588838600
"Turkey",85042736,15040238,17.68550579087671873600
"Mauritius",1273428,222848,17.49985079643293535200
"Oceania",43219954,7492789,17.33641132519483940200
"Dominica",72172,12386,17.16178019176411904900
"Bulgaria",6896655,1158949,16.80450885247993411300
"Costa Rica",5139053,857290,16.68186726231467159400
"Jordan",10269022,1695970,16.51539942167813059500
"North America",596581283,96856544,16.23526361955944903500
"Lebanon",6769151,1097390,16.21163422118962924600
"Hong Kong",7552800,1206041,15.96813102425590509500
"Poland",37797000,5999517,15.87299785697277561700
"Turks and Caicos Islands",39226,5995,15.28323051037577117200
"Romania",19127772,2898258,15.15209403374318765400
"North Macedonia",2082661,310063,14.88782860004580678300
"Kuwait",4328553,631701,14.59381460732951635300
"Brazil",213993441,30543908,14.27329167532756296000
"Armenia",2968128,422877,14.24726292127563231800
"Belize",404915,57612,14.22817134460318832300
"Malaysia",32776195,4455364,13.59329232694643170100
"Grenada",113015,15303,13.54068044064947130900
"Suriname",591798,79393,13.41555733544216100800
"South America",434260137,56854334,13.09222955456305214600
"Moldova",4024025,517753,12.86654531221848770800
"Saint Lucia",184401,23635,12.81717561184592274400
"Kosovo",1782115,228128,12.80096963439508673700
"Botswana",2397240,306200,12.77302230898867030400
"Palestine",5222756,657060,12.58071409041509884800
"Qatar",2930524,364981,12.45446206889962341200
"Russia",145912022,17951065,12.30266345017136422100
"Colombia",51265841,6093645,11.88636503593104032000
"Ukraine",43466822,5040518,11.59624230177214244000
"Bosnia and Herzegovina",3263459,377229,11.55917693465736814800
"Falkland Islands",3528,392,11.11111111111111111100
"Vietnam",98168829,10670570,10.86961116751224566400
"Trinidad and Tobago",1403374,150481,10.72280090695709055500
"Peru",33359415,3569026,10.69870679686679157900
"Saint Kitts and Nevis",53546,5583,10.42654913532289993700
"Belarus",9442867,981838,10.39766841998304116700
"Tonga",106759,10765,10.08345900579810601400
"Canada",38067913,3803458,9.99124380682492365700
"Cape Verde",561901,56056,9.97613458598578753200
"Cuba",11317498,1103753,9.75262376896377626900
"Albania",2872934,275310,9.58288634545729209200
"Montserrat",4981,452,9.07448303553503312600
"United Arab Emirates",9991083,899835,9.00638098992871943900
"Paraguay",7219641,649718,8.99931173863077125300
"Tunisia",11935764,1040712,8.71927427519511947500
"Iran",85028760,7224431,8.49645578743004131800
"Saint Vincent and the Grenadines",111269,9447,8.49023537553136992300
"Bahamas",396914,33672,8.48344981532523418200
"Guyana",790329,63533,8.03880409297899988500
"Antigua and Barbuda",98728,7663,7.76172919536504335100
"Azerbaijan",10223344,792607,7.75291333246734141000
"Bolivia",11832936,905355,7.65114422996963729000
"Bhutan",779900,59450,7.62277215027567636900
"Oman",5223376,389126,7.44970302731413553200
"Kazakhstan",18994958,1394613,7.34201676044769354100
"Libya",6958538,501916,7.21295191604903213900
"Fiji",902899,64699,7.16569627389109966900
"World",7874965730,516757582,6.56202959755610263500
"South Africa",60041996,3827378,6.37450160717508458600
"Japan",126050796,8016485,6.35972580450820794500
"Thailand",69950844,4316769,6.17114641247216402400
"Namibia",2587344,159052,6.14730781836508790500
"Eswatini",1172369,71072,6.06225514321856002700
"Iraq",41179351,2325467,5.64716767877181940000
"Dominican Republic",10953714,579743,5.29266146623875701000
"Samoa",200144,10210,5.10132704452793988300
"Upper middle income",2513672790,128134577,5.09750423801182173800
"Ecuador",17888474,870526,4.86640727431529374700
"Guatemala",18249868,848807,4.65103090060706192500
"Mexico",130262220,5740080,4.40655778782213292500
"Jamaica",2973462,130787,4.39847558166204915300
"Honduras",10062994,426179,4.23511133962715271400
"Wallis and Futuna",11094,454,4.09230214530376780200
"Vatican",812,29,3.57142857142857142900
"Philippines",111046910,3686693,3.31994199568452647600
"Nepal",29674920,978914,3.29879238090616588000
"Asia",4678444992,149678185,3.19931484191745734600
"Morocco",37344787,1165151,3.11998298450597669800
"India",1393409033,43098743,3.09304317535596168300
"Sri Lanka",21497306,663520,3.08652628380504980500
"Kyrgyzstan",6628347,200993,3.03232465047469602900
"Laos",7379358,208368,2.82366026963321199500
"Lower middle income",3330652550,90663443,2.72209249205534813300
"Sao Tome and Principe",223364,5964,2.67008112318905463700
"Kiribati",121388,3089,2.54473259300754605100
"El Salvador",6518500,162089,2.48659967783999386400
"Vanuatu",314464,7734,2.45942301821512160400
"Solomon Islands",703995,16441,2.33538590472943699900
"Indonesia",276361788,6047986,2.18843062341165631800
"Saudi Arabia",35340680,754842,2.13590117677418770700
"Gabon",2278829,47602,2.08887985890999280800
"Venezuela",28704947,522625,1.82067920209014843300
"Timor",1343875,22884,1.70283694540042786700
"Zambia",18920657,319755,1.68997831312094500700
"Zimbabwe",15092171,248214,1.64465403950167275500
"Djibouti",1002197,15631,1.55967339754559233400
"Lesotho",2159067,33151,1.53543173972831783400
"Mauritania",4775110,58719,1.22968894957393651700
"Bangladesh",166303494,1952766,1.17421826386882767500
"Taiwan",23855008,268569,1.12583906909609923400
"Myanmar",54806014,613017,1.11852140898259815100
"Equatorial Guinea",1449891,16001,1.10360020167033245900
"Rwanda",13276517,129849,0.97803512773719191600
"Comoros",888456,8107,0.91248187867491468300
"Africa",1373486472,11715837,0.85299981025222649600
"Cambodia",16946446,136260,0.80406239750800846400
"Uzbekistan",33935765,238660,0.70326983935679658300
"Mozambique",32163045,225409,0.70083227505355913900
"Pakistan",225199929,1527956,0.67848866861765307200
"Algeria",44616626,265791,0.59572187282830396000
"Kenya",54985702,323846,0.58896401831879858500
"Ghana",31732128,161222,0.50807181919851073300
"Senegal",17196308,86012,0.50017713104464051200
"Egypt",104258327,515645,0.49458399615409136600
"Gambia",2486937,11995,0.48232021961151408300
"Papua New Guinea",9119005,43827,0.48061164567844847100
"Afghanistan",39835428,178919,0.44914541899738092400
"Cameroon",27224262,119780,0.43997519565452316000
"Malawi",19647681,85800,0.43669275778652961600
"Togo",8478242,37000,0.43641122770498884100
"Congo",5657017,24079,0.42564835848999569900
"Guinea-Bissau",2015490,8213,0.40749395928533508000
"Ethiopia",117876226,470704,0.39932055510497935400
"Uganda",47123533,164118,0.34827184965100133700
"Burundi",12255429,40736,0.33239146503969791700
"Syria",18275704,55842,0.30555320878473409300
"Cote d'Ivoire",27053629,81970,0.30299077436154683700
"Central African Republic",4919987,14649,0.29774468916279656800
"Angola",33933611,99287,0.29259190835894240700
"Nicaragua",6702379,18491,0.27588711411276503500
"Low income",665149040,1821912,0.27391034045542635100
"Guinea",13497237,36549,0.27078875476514193200
"Eritrea",3601462,9737,0.27036242503738759400
"Haiti",11541683,30703,0.26601839610393042300
"Madagascar",28427333,64181,0.22577214682784347000
"Benin",12451031,26952,0.21646400205733966900
"Tajikistan",9749625,17786,0.18242752926394604900
"Somalia",16359500,26485,0.16189370090772945400
"South Sudan",11381377,17492,0.15368966338607358300
"Mali",20855724,30907,0.14819432784975482000
"Liberia",5180208,7434,0.14350775104011267500
"Sudan",44909351,62135,0.13835648615808320200
"Nigeria",211400704,255766,0.12098635206058727200
"Burkina Faso",21497097,20865,0.09705961693339337900
"Sierra Leone",8141343,7682,0.09435789647973313500
"Democratic Republic of Congo",92377986,87023,0.09420317953240504700
"China",1444216102,1078720,0.07469242300415786400
"Saint Helena",6095,4,0.06562756357670221500
"Tanzania",61498438,33872,0.05507782165134015300
"Chad",16914985,7412,0.04381913433562016200
"Yemen",30490639,11819,0.03876271664887049400
"Niger",25130810,8957,0.03564150936639129400
"Marshall Islands",59618,17,0.02851487805696266200
"Macao",658391,82,0.01245460524217372400
"Micronesia (country)",116255,7,0.006021246398004386908100
